00-station-meteo-toulouse-valade
01-station-meteo-toulouse-meteopole
02-station-meteo-toulouse-marengo
03-station-meteo-toulouse-busca
04-station-meteo-toulouse-ile-empalot
05-station-meteo-toulouse-nakache
07-station-meteo-toulouse-avenue-de-grande-bretagne
08-station-meteo-toulouse-basso-cambo
09-station-meteo-toulouse-la-salade
10-station-meteo-castelginest-ecole
11-station-meteo-toulouse-soupetard
12-station-meteo-toulouse-montaudran
13-station-meteo-toulouse-pech-david
14-station-meteo-toulouse-centre-pierre-potier
15-station-meteo-l-union-ecole
17-station-meteo-fenouillet-foyer
18-station-meteo-brax-ecole
19-station-meteo-mondouzil-mairie
20-station-meteo-mondonville-ecole
22-station-meteo-colomiers-za-perget
23-station-meteo-pibrac-bouconne-centre-equestre
24-station-meteo-colomiers-zi-enjacca
25-station-meteo-tournefeuille-residentiel
26-station-meteo-toulouse-reynerie
27-station-meteo-toulouse-saint-cyprien
28-station-meteo-toulouse-carmes
31-station-meteo-mons-station-epuration
32-station-meteo-mons-ecole
33-station-meteo-saint-jory-chapelle-beldou
36-station-meteo-toulouse-purpan
37-station-meteo-toulouse-universite-paul-sabatier
38-station-meteo-toulouse-parc-jardin-des-plantes
40-station-meteo-toulouse-zi-thibaud
41-station-meteo-toulouse-avenue-de-casselardit
42-station-meteo-toulouse-parc-compans-cafarelli
45-station-meteo-toulouse-st-exupery
49-station-meteo-toulouse-cote-pavee
50-station-meteo-blagnac-quinze-sols
51-station-meteo-toulouse-lardenne
53-station-meteo-toulouse-ponsan
58-station-meteo-toulouse-fondeyre
61-station-meteo-blagnac-mairie
62-station-meteo-toulouse-parc-maourine
